user_id,budget_lakh,purchase_timeline,visit_count,comparison_count,emi_used,test_drive,brochure_download,occupation,purchased
1,20,90,8,2,0,0,1,3,0
2,12,60,13,0,0,0,0,1,0
3,25,30,20,3,1,0,0,4,0
4,15,30,5,0,0,1,0,4,1
5,20,30,18,1,1,0,1,4,1
6,40,365,15,2,1,0,0,4,0
7,10,60,12,7,0,0,0,4,0
8,20,90,17,9,0,1,0,1,1
9,25,30,15,3,0,0,0,2,1
10,15,60,2,3,0,0,0,2,1
11,12,15,6,9,0,0,1,4,1
12,25,15,17,8,1,0,0,2,1
13,25,180,16,6,0,0,0,3,0
14,10,60,17,1,1,1,0,2,1
15,18,30,20,2,0,0,1,5,1
16,15,180,9,3,1,0,1,4,1
17,7,30,5,3,1,0,1,5,1
18,25,365,1,9,1,0,0,5,0
19,18,30,6,7,1,0,1,4,0
20,7,30,14,9,0,1,0,1,1
21,15,30,17,9,0,0,0,2,1
22,5,15,19,5,1,1,1,3,1
23,40,15,1,2,1,0,1,1,1
24,18,90,1,10,1,0,1,3,0
25,30,180,13,8,0,0,0,4,0
26,5,180,14,9,0,0,0,2,0
27,40,15,6,7,0,0,1,1,1
28,10,60,6,8,1,0,0,4,1
29,20,15,1,4,1,0,0,1,0
30,12,7,14,2,1,0,1,5,1
31,30,90,3,3,0,0,0,2,0
32,10,60,10,4,1,0,1,2,0
33,15,15,19,8,1,1,1,4,1
34,10,7,19,8,0,0,0,4,1
35,20,365,19,2,1,0,0,4,1
36,15,7,4,6,0,0,0,2,0
37,30,60,20,5,0,1,1,5,1
38,20,60,19,3,0,0,0,2,1
39,7,15,10,4,1,1,0,4,1
40,12,15,2,9,1,0,1,3,1
41,30,30,4,1,1,0,0,5,1
42,7,180,6,10,1,0,0,2,1
43,40,60,7,6,0,1,1,3,1
44,30,90,16,3,1,1,1,5,1
45,40,365,7,1,0,1,0,2,0
46,15,180,18,10,1,0,0,4,0
47,7,60,20,5,0,1,0,2,1
48,12,60,19,10,1,0,1,5,1
49,20,90,9,1,1,0,0,4,1
50,25,90,20,9,1,0,1,1,1
51,10,60,10,1,1,0,0,3,0
52,5,90,13,6,0,1,0,4,1
53,12,7,18,0,1,0,0,4,1
54,7,60,16,6,0,0,1,5,1
55,25,30,17,9,1,0,0,5,1
56,12,15,13,4,1,0,0,3,1
57,7,15,12,0,0,0,0,5,0
58,18,90,10,5,1,1,1,4,1
59,18,60,1,6,1,0,0,3,0
60,40,30,8,0,1,0,1,3,1
61,12,60,18,8,1,0,0,2,1
62,18,60,2,6,0,0,1,4,1
63,7,15,16,0,0,0,1,4,1
64,40,90,12,2,0,0,0,5,0
65,7,180,9,4,1,0,1,4,1
66,40,180,3,3,1,0,0,5,1
67,12,90,4,1,0,0,1,4,0
68,25,60,2,0,1,0,0,2,1
69,20,7,8,3,1,1,0,4,1
70,30,30,10,6,0,1,0,2,1
71,25,15,16,10,0,0,0,4,1
